"Run_ID","N1","N2","N3","N4"
"A-01","ATTACK","ATTACK","ATTACK","ATTACK"
"A-02","RETREAT","RETREAT","RETREAT","RETREAT"
"A-03-R2","ATTACK","RETREAT","ATTACK","RETREAT"
"A-04","RETREAT","RETREAT","RETREAT","RETREAT"
"A-05","ATTACK","ATTACK","ATTACK","ATTACK"
"B-01","N/A","ATTACK","ATTACK","ATTACK"
"B-02","N/A","RETREAT","RETREAT","RETREAT"
"B-03-R2","N/A","ATTACK","RETREAT","ATTACK"
"B-04","N/A","RETREAT","RETREAT","RETREAT"
"B-05-R2","N/A","RETREAT","RETREAT","RETREAT"
"C-01-R2","ATTACK","RETREAT","ATTACK","ATTACK"
"C-02-R6","RETREAT","RETREAT","RETREAT","RETREAT"
"C-03","ATTACK","ATTACK","ATTACK","ATTACK"
"C-04","RETREAT","RETREAT","RETREAT","RETREAT"
"C-05-R6","ATTACK","ATTACK","ATTACK","ATTACK"
"D-01","ATTACK","ATTACK","ATTACK","ATTACK"
"D-02","RETREAT","RETREAT","RETREAT","RETREAT"
"D-03","ATTACK","ATTACK","ATTACK","ATTACK"
"D-04","RETREAT","RETREAT","RETREAT","RETREAT"
"D-05","ATTACK","ATTACK","ATTACK","ATTACK"
"E-01","N/A","RETREAT","RETREAT","ATTACK"
"E-02","N/A","ATTACK","ATTACK","RETREAT"
"E-03","N/A","RETREAT","RETREAT","ATTACK"
"E-04","N/A","ATTACK","ATTACK","RETREAT"
"E-05","N/A","ATTACK","ATTACK","RETREAT"
